Date,VIX_1^2,VIX_2^2,VIX_3^2,VIX_6^2,VIX_9^2,VIX_12^2
19960104,0.01771,0.01681,0.01668,0.01785,0.01891,0.02027
19960105,0.01708,0.01674,0.01661,0.01828,0.02034,0.01993
19960108,0.0161,0.01589,0.01582,0.01739,0.01863,0.01955
19960109,0.02406,0.01904,0.01675,0.01858,0.01955,0.02088
19960110,0.02494,0.02151,0.02006,0.01978,0.02079,0.02184
19960111,0.01975,0.01932,0.01912,0.01829,0.0192,0.02071
19960112,0.01926,0.01852,0.01817,0.01818,0.01944,0.02129
19960115,0.02199,0.02001,0.01934,0.01884,0.01985,0.0216
19960116,0.01891,0.01791,0.01757,0.01758,0.01896,0.0207
19960117,0.01908,0.01809,0.01775,0.0182,0.01942,0.02115
19960118,0.01834,0.01791,0.01776,0.0177,0.01889,0.02032
19960119,0.01575,0.01646,0.0167,0.01666,0.01823,0.02011
19960122,0.01757,0.01712,0.01742,0.01757,0.01846,0.02014
19960123,0.0173,0.01693,0.01724,0.01794,0.01897,0.01972
19960124,0.01495,0.01579,0.01626,0.01723,0.01831,0.01895
19960125,0.01604,0.01549,0.01589,0.01659,0.01775,0.01877
19960126,0.01381,0.01409,0.01411,0.01599,0.01722,0.01819
19960129,0.01429,0.01396,0.01358,0.01578,0.01704,0.01796
19960130,0.01458,0.01281,0.01137,0.01483,0.01604,0.01729
19960131,0.01427,0.01191,0.01033,0.01417,0.01567,0.01726
19960201,0.01441,0.01234,0.01093,0.01418,0.01538,0.01663
19960202,0.01629,0.01441,0.01314,0.01492,0.01598,0.01733
19960205,0.01767,0.01551,0.01496,0.01509,0.01589,0.01692
19960206,0.0204,0.01847,0.01736,0.01647,0.017,0.0177
19960207,0.01893,0.01765,0.01723,0.0169,0.01706,0.01737
19960208,0.01861,0.01739,0.0175,0.01712,0.01716,0.01721
19960209,0.02075,0.01929,0.0189,0.01802,0.01779,0.01757
19960212,0.02151,0.01855,0.01838,0.01856,0.01862,0.01674
19960213,0.02157,0.02041,0.01925,0.01779,0.01727,0.01717
19960214,0.0245,0.02142,0.02,0.01851,0.01865,0.01811
19960215,0.02541,0.0227,0.0213,0.02025,0.01967,0.01898
19960216,0.02283,0.02234,0.02149,0.0203,0.02024,0.01959
19960220,0.02517,0.02417,0.02337,0.02213,0.02213,0.02104
19960221,0.01946,0.01994,0.0195,0.01929,0.01965,0.01944
19960222,0.02025,0.01911,0.01652,0.01795,0.01774,0.01822
19960223,0.02083,0.01974,0.01816,0.01876,0.01892,0.01875
19960226,0.02586,0.02262,0.02056,0.02076,0.02072,0.02001
19960227,0.02537,0.02304,0.02148,0.02124,0.02118,0.02024
19960228,0.02595,0.02299,0.02178,0.02182,0.02242,0.02103
19960229,0.02812,0.025,0.02346,0.02295,0.0237,0.02199
19960301,0.02607,0.02404,0.02282,0.02321,0.02296,0.02123
19960304,0.02562,0.02285,0.02225,0.02272,0.02261,0.02102
19960305,0.02376,0.02164,0.0212,0.02205,0.02214,0.02086
19960306,0.02523,0.02281,0.02237,0.02292,0.02278,0.02096
